
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WHSE  | 04A  | A4659222 | 312034987001   |      2.000 | MR  | 49090201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5518       | BLACKWOODS TOOWOOMBA QLD            | 
20    | 20   | A4821614 | 312034987001   |      2.000 | EA  | 20063205   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5518       | BLACKWOODS TOOWOOMBA QLD            | 
07    | 07   | A4821615 | 312034987001   |      2.000 | EA  | 07082606   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5518       | BLACKWOODS TOOWOOMBA QLD            | 
07    | 07   | A4801957 | 312034987201   |      1.000 | EA  | 07042402   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01   | A4750689 | 312034987301   |      1.000 | EA  | 34150303   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34   | A4818395 | 312034987301   |      1.000 | EA  | 70250201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01A  | A4789085 | 312034987401   |      3.000 | EA  | 47310401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 83   | A4808811 | 312034987401   |      2.000 | EA  | 83210601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01   | A4683254 | 312034988401   |      3.000 | EA  | 34690201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
09    | 09   | A4669067 | 312034989001   |     20.000 | EA  | 09634306   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
10    | 10   | A4801475 | 312034989301   |      1.000 | EA  | 10105901   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4005       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 82C  | A4794723 | 312034990001   |      2.000 | EA  | 82400401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4819939 | 312034990601   |      1.000 | EA  | 07202301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT3064       | BRIGHTWATER CARE GROUP (INC)        | 
GS2A  | 86A  | A4759012 | 312034990701   |     36.000 | PR  | 86050201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
09    | 09   | A4714036 | 312034992101   |      1.000 | EA  | 09104201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4700971 | 312034992101   |      1.000 | EA  | 12043903   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4810047 | 312034992101   |      1.000 | EA  | 12044001   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 84A  | A4816915 | 312034992401   |    360.000 | PR  | 84070101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT3528       | PROTECTOR ALSAFE GEEBUNG            | 
19    | 19   | A4800934 | 312034992601   |      4.000 | EA  | 19065103   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
16    | 16   | A2990226 | 312034993201   |    300.000 | EA  | 16543801   |           | 04/12/13 | 05:15:53 | CONCURRE | BT6020       | TOTAL FASTENERS MACKAY QLD          | 
17    | 17   | A4822379 | 312034993301   |      4.000 | EA  | 17162903   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5517       | BLACKWOODS SOUTHPORT QLD            | 
07    | 07   | A4824130 | 312034993701   |     12.000 | EA  | 07070601   |           | 04/12/13 | 05:15:53 | CONCURRE | 000969       | ADVANCE ENGINEERING & PRODUCTION    | 
09    | 09   | A4701810 | 312034994001   |  2,000.000 | EA  | 09591602   |           | 04/12/13 | 05:15:53 | CONCURRE | 019804       | MURRUMBIDGEE IRRIGATION (GTH)       | 
GS1   | 83   | A4786534 | 312034994201   |    180.000 | PR  | 83060301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT3528       | PROTECTOR ALSAFE GEEBUNG            | 
GS2B  | 82B  | A4808413 | 312034998701   |      2.000 | EA  | 82420202   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4001       | METROPOLITAN FIRE BRIGADES BOARD    | 
GS1   | 80   | A4779016 | 312034999601   |     14.000 | EA  | 80150301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4013       | WALCHA SHIRE COUNCIL                | 
15    | 15   | A4822353 | 312034999801   |     75.000 | EA  | 15510501   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 89   | A4812976 | 312034999801   |      2.000 | EA  | 89031001   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 83   | A4824055 | 312034999801   |      8.000 | EA  | 83180601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 82B  | A4803257 | 312034999801   |      3.000 | EA  | 82290101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
18    | 18   | A4818957 | 312034999801   |     10.000 | EA  | 18041803   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04   | A4698504 | 312034999801   |      1.000 | EA  | 43990117   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04   | A4779565 | 312034999801   |      1.000 | EA  | 36150301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 85B  | A4802676 | 312034999801   |     10.000 | PH  | 85390201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
11    | 11   | A4822241 | 312034999801   |    400.000 | EA  | 11523802   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04   | A4757203 | 312034999801   |      4.000 | LN  | 05670905   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4768845 | 312034999801   |      2.000 | EA  | 12014102   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
18    | 18   | A4594145 | 312034999801   |      6.000 | EA  | 18064301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   3
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS2C  | 83C  | A4813884 | 312034999801   |      6.000 | RL  | 83370501   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
