
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS2B  | 84B  | A4784685 | 312045002101   |      3.000 | ST  | 84260101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4784465 | 312045002101   |      1.000 | EA  | 12031001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
11    | 11   | A4739109 | 312045002101   |      1.000 | EA  | 11045401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 88   | A4713214 | 312045002101   |      5.000 | EA  | 88100602   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4744130 | 312045002101   |      1.000 | EA  | 13165201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4766731 | 312045002101   |      6.000 | EA  | 08014303   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 82B  | A4759395 | 312045002101   |      5.000 | EA  | 82310202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 94   | A4778235 | 312045002101   |      1.000 | EA  | 94050505   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01A  | A4750627 | 312045002101   |      2.000 | EA  | 46030109   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 93   | A4812571 | 312045002101   |      6.000 | EA  | 93110602   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4740790 | 312045002101   |      2.000 | EA  | 14121601   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4790800 | 312045002101   |      6.000 | EA  | 14122801   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4733864 | 312045002101   |      3.000 | EA  | 14122802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 88   | A4733864 | 312045002101   |      3.000 | EA  | 88091001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4744135 | 312045002101   |      6.000 | EA  | 14132802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4816724 | 312045002101   |      5.000 | EA  | 14132701   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 95   | A4799878 | 312045002101   |    129.000 | EA  | 95130401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
11    | 11   | A4778831 | 312045002101   |      1.000 | EA  | 11683401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 93A  | A4815426 | 312045002101   |     49.000 | EA  | 93040103   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 93A  | A4795447 | 312045002101   |     57.000 | EA  | 93030305   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
09    | 09   | A4756917 | 312045002101   |      4.000 | EA  | 09530101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 01   | A4263215 | 312045002101   |      4.000 | EA  | 35040403   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04A  | A4263217 | 312045002101   |      1.000 | EA  | 63050301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4779645 | 312045002101   |      1.000 | EA  | 15094802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2A  | 97A  | A4780279 | 312045002401   |  2,430.000 | EA  | 97170101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
GS1   | 80   | A4780280 | 312045002401   |     70.000 | EA  | 80030301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
GS3   | 92   | A4823214 | 312045002501   |     40.000 | EA  | 92050101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 87   | A4822463 | 312045002601   |      1.000 | PR  | 87060902   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 89   | A4752186 | 312045002701   |      6.000 | EA  | 89070802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5544       | BLACKWOODS SHEPPARTON VIC           | 
GS1D  | 78D  | A4813428 | 312045002701   |      4.000 | EA  | 78310902   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5544       | BLACKWOODS SHEPPARTON VIC           | 
WHSE  | 27   | A4674077 | 312045002701   |      6.000 | MR  | 48030202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5544       | BLACKWOODS SHEPPARTON VIC           | 
10    | 10   | A4790672 | 312045002701   |      1.000 | PR  | 10522302   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5544       | BLACKWOODS SHEPPARTON VIC           | 
WHSE  | 04   | A4770485 | 312045003301   |      2.000 | EA  | 36050103   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
07    | 07   | A4804144 | 312045003301   |      1.000 | EA  | 07083801   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
13    | 13   | A4824817 | 312045003301   |      1.000 | BX  | 13016401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
17    | 17   | A4774103 | 312045003301   |    100.000 | EA  | 17070901   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
GS2B  | 97B  | A4786979 | 312045003301   |      1.000 | B6  | 97290202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
12    | 12   | A4674887 | 312045003301   |      4.000 | EA  | 12523602   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
GS2B  | 85B  | A4786273 | 312045003301   |     12.000 | EA  | 85340202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5020       | BLACKWOODS ROCKHAMPTON QLD          | 
GS3   | 87   | A4774167 | 312045003401   |      1.000 | CA  | 87050803   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4019       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4826120 | 311294762003   |      2.000 | EA  | 13616301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT5512       | BLACKWOODS MARYBOROUGH QLD          | 
13    | 13   | A4826120 | 312034919402   |      4.000 | EA  | 13616301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
13    | 13   | A4826261 | 311264477110   |      1.000 | EA  | 13155703   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 91   | A4823565 | 312045003601   |    144.000 | EA  | 91090204   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4730885 | 312045003701   |      5.000 | PR  | 07613001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4664927 | 312045004101   |    100.000 | EA  | 14635702   |           | 04/12/13 | 07:36:20 | CONCURRE | BT6001       | BLACKWOODS MOUNT GAMBIER            | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   7
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS1D  | 79D  | A4823182 | 312045004201   |     25.000 | EA  | 79281102   |           | 04/12/13 | 07:36:20 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
20    | 20   | A4819252 | 312045004401   |      1.000 | EA  | 20671801   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4005       | J. BLACKWOOD & SON PTY LIMITED      | 
10    | 10   | A4557650 | 312045004501   |      2.000 | EA  | 10094102   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
WHSE  | 01A  | A4332372 | 312045001801   |      7.000 | EA  | 46020104   |           | 04/12/13 | 07:43:14 | CONCURRE | 052195       | DOWNER EDI ENGINEERING - TULLAMARIN | 
GS1   | 75   | A4821681 | 312045001901   |      3.000 | EA  | 75070501   |           | 04/12/13 | 07:43:14 | CONCURRE | 117026       | PHOENIX ENGINEERING GROUP PTY LTD   | 
WHSE  | 34   | A4824901 | 312045002901   |     12.000 | EA  | 70580101   |           | 04/12/13 | 07:43:14 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
19    | 19   | A4756370 | 312045003101   |      4.000 | EA  | 19075001   |           | 04/12/13 | 07:43:14 | CONCURRE | 259547       | QDS VILLAWOOD                       | 
12    | 12   | A4825984 | 311264503805   |     52.000 | EA  | 12701601   |           | 04/12/13 | 08:03:35 | CONCURRE | 022177       | CORRECTIVE SERVICES NSW (NON EDI)   | 
12    | 12   | A4826263 | 311264477306   |    200.000 | EA  | 12065902   |           | 04/12/13 | 08:03:35 | CONCURRE | 880230       | PITTWATER COUNCIL                   | 
12    | 12   | A4825984 | 311274604703   |      1.000 | EA  | 12701601   |           | 04/12/13 | 08:03:35 | CONCURRE | 030298       | KELAIR PUMPS                        | 
10    | 10   | A4824341 | 312045004301   |      1.000 | EA  | 10711701   |           | 04/12/13 | 08:03:35 | CONCURRE | BT4004       | BAKERS CONSTRUCTION+INDUSTRIAL      | 
GS2   | 95   | A4759017 | 312045004601   |     12.000 | EA  | 95170301   |           | 04/12/13 | 08:03:35 | CONCURRE | 021968       | HUME DOORS AUST P/L                 | 
GS2B  | 83B  | A4758001 | 312045004601   |      6.000 | EA  | 83240101   |           | 04/12/13 | 08:03:35 | CONCURRE | 021968       | HUME DOORS AUST P/L                 | 
WHSE  | 01A  | A4684929 | 312045004601   |     18.000 | EA  | 46030111   |           | 04/12/13 | 08:03:35 | CONCURRE | 021968       | HUME DOORS AUST P/L                 | 
GS2A  | 86A  | A4772723 | 312045004801   |     40.000 | PR  | 86110201   |           | 04/12/13 | 08:03:35 | CONCURRE | 048237       | DAVID POWER PTY LTD                 | 
16    | 16   | A4826287 | 311274591404   |      4.000 | EA  | 16605701   |           | 04/12/13 | 08:09:25 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
GS1D  | 80D  | A4823570 | 312045005501   |      4.000 | PH  | 80241002   |           | 04/12/13 | 08:09:25 | CONCURRE | BT6024       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 76   | A4821687 | 312045005801   |      4.000 | EA  | 76030501   |           | 04/12/13 | 08:09:25 | CONCURRE | BT5537       | BLACKWOODS-ALBURY                   | 
16    | 16   | A4622238 | 312045005801   |     15.000 | EA  | 16184501   |           | 04/12/13 | 08:09:25 | CONCURRE | BT5537       | BLACKWOODS-ALBURY                   | 
GS1   | 75   | A4769551 | 312045005801   |      8.000 | EA  | 75030301   |           | 04/12/13 | 08:09:25 | CONCURRE | BT5537       | BLACKWOODS-ALBURY                   | 
GS3   | 89   | A4752612 | 312045005301   |      2.000 | PH  | 89030401   |           | 04/12/13 | 08:22:30 | CONCURRE | 012599       | EMJAY PROCESS SYSTEMS PTY LTD       | 

TOTAL RECORDS    339
