
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 09061801             |  1 | A4812686 |     30    | EA | _______ | Putaway   | 11/11 07:42 | SM563589 | 02423902  BOLT&NUT HEX HT CL8.8 BLK 20X110MM      
RECEIVE              | 09083801             |  1 | A4812762 |      1    | EA | _______ | Putaway   | 11/11 08:21 |          | 07615906  HANDLE HAMMER CLUB HARDWOOD 1ST GR 250MM
RECEIVE              | 09130402             |  1 | A4812989 |     80    | EA | _______ | Putaway   | 11/11 10:01 | SM563583 | 06669005  COVERALL M/GARD 2000 LAM 05265 XL       
RECEIVE              | 09141801             |  1 | A4812694 |     30    | EA | _______ | Putaway   | 11/11 07:47 | SM563601 | 01240801  BOLT&NUT HEX HT CL8.8 BLK 12X45MM       
RECEIVE              | 09141801             |  1 | A4812747 |    140    | EA | _______ | Putaway   | 11/11 08:15 | SM563724 | 01240801  BOLT&NUT HEX HT CL8.8 BLK 12X45MM       
RECEIVE              | 09162201             |  1 | A4813042 |     28    | PH | _______ | Putaway   | 11/11 10:49 | SM563348 | 02402354  TIE CABLE 371X3.7MM BLK PLT4I-CO PK100  
RECEIVE              | 09192802             |  1 | A4812661 |      2    | EA | _______ | Putaway   | 11/11 07:14 |          | 06156472  HAMMER CLAW STEEL HDLE DVS-V JBS 575G   
RECEIVE              | 09204201             |  1 | A4812883 |      7    | PR | _______ | Putaway   | 11/11 09:40 | SM563639 | 07717395  GLOVES HELIX WET HX60492F2 9            
RECEIVE              | 09526201             |  1 | A4813386 |      4    | PH | _______ | Putaway   | 11/11 15:47 | SM562856 | 06567940  BAG VACUUM 69042900 SUIT NT 27/1 (5)    
RECEIVE              | 09634004             |  1 | A4813071 |     10    | EA | _______ | Putaway   | 11/11 10:57 | SM561848 | 03024300  NUT TUBE INT COMPRESSION BRASS Z2 1/2"T 
