
J. BLACKWOOD & SON LIMITED           OUTSTANDING ORDER NOT APPEARED IN RF QUEUE TUESDAY, JUNE 25, 2013 14:07
----------------------------------------------------------------------------------------------------------------------------------
ORDER               |RECEIVED|PRODUCT             |STOCKID |LOCATION            |ORDERED   |UO| POSSIBLE REASONS
306253963800        |25/06/13|03837319            |        |                    |        10|EA|
306253963800        |25/06/13|03837416            |        |                    |         8|EA|
306253964500        |25/06/13|03505454            |        |                    |         2|CA|
306253964900        |25/06/13|00364055            |        |                    |         2|EA|
306253965000        |25/06/13|01175905            |        |                    |       100|EA|
306253965000        |25/06/13|01176807            |        |                    |       100|EA|
306253965000        |25/06/13|01177000            |        |                    |       100|EA|
306253965000        |25/06/13|02846204            |        |                    |       100|EA|
306253965000        |25/06/13|02846709            |        |                    |       100|EA|
306253965000        |25/06/13|02847106            |        |                    |       100|EA|
306253965000        |25/06/13|07923537            |        |                    |        10|EA|
306253965100        |25/06/13|00683774            |        |                    |        19|EA|
306253965200        |25/06/13|00551242            |        |                    |         2|EA|Stock A4725059 is blocked for putaway or replenishment
306253965200        |25/06/13|00931952            |        |                    |        12|EA|
306253965200        |25/06/13|03557104            |        |                    |         6|EA|
306253965200        |25/06/13|04245803            |        |                    |         2|EA|
306253965200        |25/06/13|05368539            |        |                    |         3|CA|
306253965200        |25/06/13|06322012            |        |                    |         7|EA|
306253965200        |25/06/13|06923408            |        |                    |         1|EA|
306253966100        |25/06/13|02382205            |        |                    |       400|EA|
306253966200        |25/06/13|00481304            |        |                    |         2|EA|
306253966400        |25/06/13|05830013            |        |                    |        12|EA|
306253966500        |25/06/13|09967651            |        |                    |        12|EA|
306253966600        |25/06/13|01396965            |        |                    |         2|EA|
306253965700        |25/06/13|00252405            |        |                    |         1|EA|
306253965700        |25/06/13|00692665            |        |                    |         1|EA|
306253965700        |25/06/13|01019256            |        |                    |         4|EA|
306253965700        |25/06/13|03108015            |        |                    |         1|KT|
306253965700        |25/06/13|03968204            |        |                    |         4|EA|Stock A4709505 is allocated
306253965700        |25/06/13|04466103            |        |                    |         4|EA|
306253965700        |25/06/13|06739368            |        |                    |        12|PR|
306253965700        |25/06/13|06769509            |        |                    |         1|EA|
306253965700        |25/06/13|07243265            |        |                    |         4|EA|
306253967000        |25/06/13|08027807            |        |                    |        50|EA|
306253967000        |25/06/13|08027904            |        |                    |        50|EA|
