
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT TUESDAY, JUNE 25, 2013 11:24     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 09212801             |  1 | A4724847 |      1    | EA | U       u | Putaway   | 25/06 11:12 | SM532653 | 04974989  KIT COMPRESSOR SIP SM02162P             
RECEIVE              | 09212801             |  1 | A4724860 |      1    | EA | U       u | Putaway   | 25/06 11:22 | SM532875 | 04974989  KIT COMPRESSOR SIP SM02162P             
RECEIVE              | 09215101             |  1 | A4724857 |   2800    | EA | U       u | Putaway   | 25/06 11:21 | SM532601 | 02747905  WASHER RND COMM BLK 5/16" (8MM)         
RECEIVE              | 09234802             |  1 | A4724719 |     28    | EA | U       u | Putaway   | 25/06 10:07 | SM528096 | 05999477  TREFOLEX 3065 HD C/FLUID S/BOTTLE 500ML 
RECEIVE              | 09510601             |  1 | A4724723 |     25    | EA | U       u | Putaway   | 25/06 10:09 | SM533899 | 04111102  ADHESIVE KWIK GRIP SELLEYS 500ML        
RECEIVE              | 09524601             |  1 | A4724388 |     12    | EA | U       u | Putaway   | 25/06 08:36 | SM533608 | 00981055  RATSAK POISON HORTICO 52290 2.5KG       
RECEIVE              | 09535801             |  1 | A4724537 |      6    | EA | U       u | Putaway   | 25/06 09:30 | SM530467 | 04135104  BRUSH ACID/DISTEMPER 2006 2 KNOT X 6OZ  
RECEIVE              | 09621404             |  1 | A4724784 |    200    | EA | U       u | Putaway   | 25/06 10:29 | SM533284 | 06149813  SCREW MTS PAN SLOT ZP METRIC 5X25MM     
RECEIVE              | 09622004             |  1 | A4724799 |    400    | EA | U       u | Putaway   | 25/06 10:39 | SM532893 | 04899712  SCREW MTS PAN SLOT ZP METRIC 6X20MM     
RECEIVE              | 09625201             |  1 | A4724553 |    144    | PR | U       u | Putaway   | 25/06 09:31 | SM534054 | 05503740  GLOVES RUBBER SILVERLINED SKYBLU 3553 8 
RECEIVE              | 09643801             |  1 | A4724814 |    200    | EA | U       u | Putaway   | 25/06 10:52 | SM533537 | 01296800  SCREW MTS RND SLOT BRASS BSW 1/4X1"     
RECEIVE              | 09650801             |  1 | A4724667 |     75    | EA | U       u | Putaway   | 25/06 09:59 | SM532589 | 00367352  CLAMP HOSE JBS ZINC J040A 16-24MM NO.0A 
RECEIVE              | 09661902             |  1 | A4719951 |    200    | EA | U       u | Putaway   | 18/06 10:59 | SM532542 | 01948657  CONNECTOR H/D 1 SCREW 6MM HOLE 40A 401  
RECEIVE              | 09664002             |  1 | A4724752 |    100    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 04470656  SCREW SKT BTN HD SS304 METRIC 5X30MM    
RECEIVE              | 09664204             |  1 | A4724732 |     10    | EA | U       u | Putaway   | 25/06 10:10 | SM533216 | 03572795  OIL FOR AIR TOOL JAMEC 06.2237 500ML    
RECEIVE              | 09701001             |  1 | A4724786 |    890    | EA | U       u | Putaway   | 25/06 10:29 | SM533284 | 08762010  SCREW STS CSK PHIL ZP 6GX1 1/2 (1000    
RECEIVE              | 09703802             |  1 | A4724629 |     14    | EA | U       u | Putaway   | 25/06 09:47 | SM534083 | 01208792  CLEANER LENS SOLUTION + SPRAY 225ML 1015
RECEIVE              | 09851388             |  1 | A4724402 |     10    | EA | U       u | Putaway   | 25/06 08:53 | SM533930 | 09851388  CLEANER WINDSCREEN WASH ARMORALL 500ML  
RECEIVE              | 10022402             |  1 | A4724741 |     10    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 01219128  EYEBOLT +NUT & WASHERS S/S304 6X40MM    
RECEIVE              | 10025001             |  1 | A4724558 |      7    | KT | U       u | Putaway   | 25/06 09:31 | SM532517 | 02155607  KIT FIRST AID TYPE B 1-24 METAL NSW     
RECEIVE              | 10034601             |  1 | A4724754 |     50    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 04470656  SCREW SKT BTN HD SS304 METRIC 5X30MM    
RECEIVE              | 10066201             |  1 | A4724684 |      6    | PR | U       u | Putaway   | 25/06 09:59 | SM531263 | 09829509  GLOVES LATEXCOAT HEXARMOR 9011 M        
RECEIVE              | 10066202             |  1 | A4718192 |      5    | EA | U       u | Putaway   | 15/06 05:42 | SM531546 | 01482492  RESP FULL 3M 6000 SERIES 6900 L         
RECEIVE              | 10101501             |  1 | A4724362 |     42    | EA | U       u | Putaway   | 25/06 08:24 | SM532307 | 02211282  SUNSCREEN 30+ MILK HAMILTON 125ML       
RECEIVE              | 10145601             |  1 | A4724312 |      3    | PR | U       u | Putaway   | 25/06 07:11 |          | 00742033  EARMUFF PELTOR H7 H/BAND CL5 H7A        
RECEIVE              | 10185303             |  1 | A4721263 |     10    | EA | U       u | Putaway   | 20/06 09:06 | SM531378 | 05021964  BIT POWER 1/4"HEX PHIL #2 45MM D/E 41314
RECEIVE              | 10185701             |  1 | A4724736 |      3    | EA | U       u | Putaway   | 25/06 10:11 | SM532884 | 03878705  GLASS MAGNIFYING 75MM                   
RECEIVE              | 10185702             |  1 | A4724737 |      2    | EA | U       u | Putaway   | 25/06 10:11 | SM532884 | 05527009  WATCHMAKER LOUPE EYE 5 X GENERAL 527HB  
RECEIVE              | 10223802             |  1 | A4724772 |    100    | EA | U       u | Putaway   | 25/06 10:27 | SM533101 | 01068106  SCREW SET HEX HD SS316 METRIC 8X30MM    
RECEIVE              | 10510804             |  1 | A4724744 |    100    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 03101096  WASHER FLAT RND SS316 DIN125A 20X37X3.0 
RECEIVE              | 10514603             |  1 | A4724306 |      7    | EA | U       u | Putaway   | 25/06 06:54 |          | 03555002  ADAPTOR AIRLINE 31M4 1/4" BSP MALE      
RECEIVE              | 10522302             |  1 | A4724630 |     10    | PR | U       u | Putaway   | 25/06 09:47 | SM534083 | 04607568  LENS REPLACEMENT WELDING SH 5 9300-185F 
RECEIVE              | 10523602             |  1 | A4723385 |      1    | EA | U       u | Putaway   | 22/06 13:46 | SM533104 | 00369869  INSERT TURNING WNMG 080408-M5 TP3500    
RECEIVE              | 10535101             |  1 | A4724728 |      6    | EA | U       u | Putaway   | 25/06 10:10 | SM531673 | 00004683  SET TAP & DRILL 14 PCE SUTTON M3-M12 HSS
RECEIVE              | 10535701             |  1 | A4724750 |     23    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 00944843  SCREW SET HEX HD SS316 UNC 5/8X2        
RECEIVE              | 10545301             |  1 | A4724330 |      2    | EA | U       u | Putaway   | 25/06 08:07 | SM532986 | 01149354  CUTTER HSS 26DIA X 25MM AUSTBROACH 26258
RECEIVE              | 10564004             |  1 | A4724774 |     15    | EA | U       u | Putaway   | 25/06 10:28 | SM532063 | 00782055  BANDAGE TRIANGULAR 90X90X120CM          
RECEIVE              | 10565403             |  1 | A4724351 |   1000    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 03503367  WASHER FLAT RND SS316 DIN125A 6X12.5X1.6
RECEIVE              | 10572401             |  1 | A4724759 |      5    | EA | U       u | Putaway   | 25/06 10:15 | SM532678 | 03470453  TOOL RIVET POCKET RIVETER HR-200        
RECEIVE              | 10615501             |  1 | A4724677 |    200    | EA | U       u | Putaway   | 25/06 09:59 | SM531263 | 01965102  SCREW SKT SET (GRUB) UNBRAKO 5X5MM      
RECEIVE              | 10631102             |  1 | A4724549 |     24    | PR | U       u | Putaway   | 25/06 09:31 | SM534054 | 09813053  GLOVES ALPHATEC NITRILE 58-270-9        
RECEIVE              | 10640801             |  1 | A4724555 |    144    | PR | U       u | Putaway   | 25/06 09:31 | SM534054 | 09813053  GLOVES ALPHATEC NITRILE 58-270-9        
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT TUESDAY, JUNE 25, 2013 11:24     PAGE   3
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RECEIVE              | 10646101             |  1 | A4719942 |     10    | PR | U       u | Putaway   | 18/06 10:56 | SM532480 | 02095768  GLOVES HONEYWELL CUT 5 WH/GY 8          
RECEIVE              | 10656103             |  1 | A4719943 |     10    | PR | U       u | Putaway   | 18/06 10:56 | SM532480 | 02095785  GLOVES HONEYWELL CUT 5 WH/GY 9          
RECEIVE              | 10685801             |  1 | A4719944 |     10    | EA | U       u | Putaway   | 18/06 10:56 | SM532480 | 02095802  GLOVES HONEYWELL CUT 5 WH/GY 10         
RECEIVE              | 10686202             |  1 | A4724562 |     70    | EA | U       u | Putaway   | 25/06 09:38 | SM534056 | 06666336  SPECS RAPTOR GUN FRM SMOKE LENS 1613102 
RECEIVE              | 10714601             |  1 | A4724333 |      2    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 00484653  TURNBUCKLE S/S EYE/EYE 12MM             
RECEIVE              | 11012006             |  1 | A4724657 |     30    | EA | U       u | Putaway   | 25/06 09:55 | SM532699 | 08615918  UNION TUBE STR QCK KQ2H13-00A 1/2TX1/2T 
