J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306123129501 | 03    | 880129       | ENVIRONMENT PROTECTION AUTHORITY OF | 25/06/13 13:46 | 991435   | Nothing Picked | 00608617   | CROSSDOC   | CRSS | A4716820  |         1 |         0
306123129501 | 03    | 880129       | ENVIRONMENT PROTECTION AUTHORITY OF | 25/06/13 13:46 | 991438   | Nothing Picked | 05002325   | CROSSDOC   | CRSS | A4716821  |         4 |         0
306123135002 | 99    | BT3076       | ATKINS CARLYLE KARRATHA             | 25/06/13 13:08 | 991313   | Nothing Picked | 00684617   | PICKRECV   | RECV | A4724959  |        20 |         0J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   2
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306123149201 | 07    | 033095       | ELI LILLY AUSTRALIA PTY LIMITED     | 25/06/13 13:46 | 991437   | Nothing Picked | 04119974   | CROSSDOC   | CRSS | A4716822  |         3 |         0
306123151302 | 25    | 060939       | TECHPLAS EXTRUSIONS PTY LTD         | 25/06/13 12:24 | 991025   | Nothing Picked | 00931302   | CROSSDOC   | CRSS | A4717133  |         2 |         0
306133169101 | 23    | 081222       | MARRICKVILLE COUNCIL                | 25/06/13 11:11 | 990737   | Nothing Picked | 00885547   | CROSSDOC   | CRSS | A4717774  |         2 |         0
306133169400 | 02    | 002177       | AIR BRAKE CORPORATION OF AUSTRALIA  | 25/06/13 11:12 | 990743   | Nothing Picked | B0706-6292 | CROSSDOC   | CRSS | A4717847  |         2 |         0
306133169400 | 02    | 002177       | AIR BRAKE CORPORATION OF AUSTRALIA  | 25/06/13 11:12 | 990744   | Nothing Picked | B0706-6293 | CROSSDOC   | CRSS | A4717848  |         2 |         0
306133172101 | 14    | 269181       | IPLEX PIPELINES AUST PTY LTD        | 25/06/13 11:11 | 990739   | Nothing Picked | 08141817   | CROSSDOC   | CRSS | A4717775  |         1 |         0
306133175101 | 81    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 09:25 | 989901   | Nothing Picked | 09916056   | CROSSDOC   | CRSS | A4718811  |         1 |         0
306133187102 | 06    | 265261       | SHELL REFINING (AUST) PL-WEB ACC ON | 25/06/13 11:49 | 990896   | Nothing Picked | 00552959   | PICKRECV   | RECV | A4724885  |         1 |         0
306133187102 | 06    | 265261       | SHELL REFINING (AUST) PL-WEB ACC ON | 25/06/13 11:49 | 990897   | Nothing Picked | 01083157   | PICKRECV   | RECV | A4724886  |         1 |         0
306133187302 | 86    | 061495       | ROADS & MARITIME SERVICES - SYDNEY  | 25/06/13 12:46 | 991136   | Nothing Picked | 04222501   | CROSSDOC   | CRSS | A4718871  |         1 |         0
306133187302 | 86    | 061495       | ROADS & MARITIME SERVICES - SYDNEY  | 25/06/13 12:46 | 991137   | Nothing Picked | 05001594   | CROSSDOC   | CRSS | A4718872  |         2 |         0
306133187302 | 86    | 061495       | ROADS & MARITIME SERVICES - SYDNEY  | 25/06/13 12:46 | 991138   | Nothing Picked | 05306064   | CROSSDOC   | CRSS | A4718870  |         6 |         0
306133187801 | 06    | 061196       | TUNNEL HOLDINGS PTY LTD             | 25/06/13 13:05 |      0   | Nothing Picked | 04352505   |            |      |           |         1 |        30
306133193601 | 16    | 277807       | *JBS SMITHFIELD PRE PAID CREDIT CAR | 25/06/13 13:05 |      0   | Nothing Picked | 05439854   |            |      | A4720522  |         1 |         0
306133213801 | 16    | 880012       | A N S T O (PURCHASE ORDERS)         | 25/06/13 09:25 | 989899   | Nothing Picked | 04999520   | CROSSDOC   | CRSS | A4718815  |         2 |         0
